id,tweets,direct_claim,direct_claim_probability,indirect_claim,indirect_claim_probability,opinion,opinion_probability,quote,quote_probability,not_claim,not_claim_probability,level_2,level_2_probability,level_3_tag,iids
0,corona virus is getting weak everyday in pakistan. media is not discussing it as they discussed rise in new cases few weeks back.,yes,0.5052047619930152,no,0.881977468694175,no,0.7906605648513646,no,0.9632592432557147,no,0.9256686813554736,fact_check,0.7392358816159602,rumors,g3ImDTIf_normal.jpg
1,@timesnow locust and corona also coverimg entire nation very quickly,no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,default_profile_normal.png
2,1 crore😔😔😔 #coronaviruspandemic #coronavirus #covid_19 #covid19pandemic #coronavirusupdates #breakingnews #breaking https://t.co/lzdguq09zk,no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,_3M5OhVR_normal.jpg
3,@drdanish5 @fauziakasuri dr sab did your best knowledge took global coronavirus economic blow into consideration prior stamping owns opinion?,no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,XeDMeKZ3_normal.jpg
5,@omar_quraishi a strict lockdown is there from past few days in lahore,no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,BvnE7aua_normal.jpg
6,@nahi_btaungii lockdown hai is liya 😅😂,no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,rAiXnFyi_normal.jpg
7,"even though pakistan's economy was hammered by last imf dictated budget &amp; then suffered through a pathetically managed lockdown, pti has committed to make interest payments of almost 3 trillion rupees, when entire budget is just over 7 trillion.  #khilafahreviveseconomy",no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,4sU4JWi3_normal.jpg
8,smart lockdown is nothing but just a joke. #lockdown https://t.co/hoxwa97qef,no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,IHGP4t5L_normal.jpg
9,@adeeljavedch bhi sab it's mean corona virus finish coz petrol virus everyone forgot about corona 😊,no,0.5322531405351927,no,0.9009292913910931,no,0.7709878776510968,no,0.9618106742169867,no,0.9011543319172043,fact_check,0.6191985226431134,rumors,7img8BtL_normal.jpg
10,"even though pakistan's economy was hammered by last imf dictated budget &amp; then suffered through a pathetically managed lockdown, pti has committed to make interest payments of almost 3 trillion rupees, when entire budget is just over 7 trillion.  #khilafahreviveseconomy",no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,_WmRmc8l_normal.jpg
11,"@cnn corona is not so dangerous, just keep off your tv.",no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,W_cW4CgC_normal.jpg
12,as we know that in lockdown we wast our time in useless thing .lets try samething different and also earn money from it .click the dowlink and rejistered yourself https://t.co/cllwewi5f1,no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,zvZ0V4et_normal.jpg
13,"even though pakistan's economy was hammered by last imf dictated budget &amp; then suffered through a pathetically managed lockdown, pti has committed to make interest payments of almost 3 trillion rupees, when entire budget is just over 7 trillion. #rejectcapitalismestablishkhilafah",no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,uxNDNMpB_normal.jpg
14,"@huda_nav alhamdulillah all fine here had vacations from office as it had been sealed for 2 weeks due to corona cases, now opening from monday.",no,0.5360903276402894,no,0.9139073606845185,no,0.723037874258765,no,0.9755612423610686,no,0.8543976161219868,fact_check,0.6413424513038184,others,EWp-a0J5_normal.jpg
15,if all parties are sure that the nation is in distress then mandatory task is to activate their members to deal pakistani disasters of poverty corona locust like the spirit and utilising the supporters as they do in elections,no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,BBJzV-QY_normal.jpg
